description,years_exp,country,salary_range,job_category,job_title,required_skills
"We are one of the top management consulting firm across the globe.-Responsibility:-The intern will work with us full time on developing a POC that involves image processing into a client solution.Required skills+ Advanced Python programming (pandas, numpy, scipy, scikit-image, scikit-learn)+ Computer Vision using python (Image processing & object detection , Open-cv frame work)+ Deep learning frameworks - keras & theano+ Prior experience working on Linux systemsGood to have+ Deep Learning frameworks Tensorflow & Caffe+ Expertise in face detection and recognition -CTC would be INR 30,000/- per month -Tier 1: Any Degree-Under Graduate- 0k to 30k-
Caffe
,
Computer Vision
,
Deep Learning
,
Face Detection
,
Face Recognition
,
Image Processing
,
Keras
,
Linux
,
Object Detection
,
Python
,
Tensor Flow
-
Chennai
!!!",0.1,Chennai,0k to 30k,Data_Analytics,DL Internship- Chennai (3 Months),"Caffe,Computer Vision,Deep Learning,Face Detection,Face Recognition,Image Processing,Keras,Linux,Object Detection,Python,Tensor Flow"
"Tier 1 : Entire Education-No Restriction- 450k to 950k-
Business Intelligence
,
Oracle
,
Power Point
-
Bengaluru
!!!+Delivering analysis for the regular business reviews that management has with the senior sales leaders and Board of directors.+Analyze sales performance, activity and territory coverage at a sales representative level+Providing detailed analysis on key products and sales markets+Preparing executive KPI dashboards and QBR packs for Sales Leader+Analyzing pipeline progression to ensure to flag pipeline that is at risk and needs to be progressed at the right time to the right people.+Assisting in the monitoring of the overall regions business performance and identifying areas of opportunity or potential risks to the business.+Using pipeline gap analysis to assess any future gaps by product or by team and calculating forecasts based off past behavior to perform a health check on the business.+Be an expert on SI business intelligence dashboards. Work to ensure regional business scope is up to date and the pipeline data is accurate on SI. Provide ideas to Business Intelligence team on enhancement requests.+Support in driving new business processes and sales process and understanding any current business process issuesIdentify trends or changes in patterns or customer behavior and develop solutions to address.+Respond to questions/feedback received in an accurate and timely fashion.",3.0,Bengaluru,450k to 950k,Data_Analytics,Business Intelligence Analyst- Bangalore (3-6 Years of Experience),"Business Intelligence,Oracle,Power Point"
"Position Overview:The purpose of these positions is to perform and improve business reporting and analytics for UHC CIO Business Leadership. The team will be working closely with operations and PM organization to provide business insights, financial reporting and MBO Dashboard refresh and result publication. The team will help PDS Leadership to achieve Innovation solution in reporting, process improvement and analytics across the portfolio of program.-Job Responsibility- Individual will be responsible for analyzing large amounts of data to produce meaningful insight including Provider Performance Reports for UHC Business Owners- Build weekly / monthly dashboards by pulling data from different data sources for Senior Leadership team:.- Weekly Status Reporting metrics- Weekly Status Report Publication and Distribution- Month End UHC IS Timesheet Compliance Validation, Remediation & Support.- Month End UHC IS PPM Optics Financial Reporting- Monthly Forecast Submission to UHC Finance- Weekly Tableau Refresh and Dashboard Publishing- Data Quality Management, Validation, and Remediation Supports operations reporting accuracy.- Monthly MBO Dashboard Refresh and Results Publication, Monthly PM Analysis to validate PM load across UHC IS and OT.- Process, Data, and Environment Documentation, Extra development support as capacity allows.- Tools Excel, Tableau, BDPAAS (Datameer)Basic requirement -- Good communication skills- Experience in BI and Data management 7 to 10 years- Should have hands-on experience in BI tools MS- BI / (SQL)- Should have hands-on experience in Big Data / Datameer expertise- Should have hands-on experience in Tableau Desktop/Server- MS Excel, Visio, PowerPoint, and Project Expertise- SharePoint Designer-Does Not Matter-Under Graduate- 1000k to 1800k-
Bigdata
,
Excel
,
Hadoop
,
Hive
,
Mapreduce
,
Pig
,
Sql
,
Tableau
-
Hyderabad
!!!",7.0,Hyderabad,1000k to 1800k,Data_Analytics,MGR Analytics Msbi Big Data OR Data Visualization- Hyderabad (7-12 Years Of Experience),"Bigdata,Excel,Hadoop,Hive,Mapreduce,Pig,Sql,Tableau"
"- Participate in data science projects, be hands-on and build statistical models and digital solutions to extract value and create actionable recommendations.- Identify and operationalize valuable insights from the data into business and digital applications. - Partner with internal/external stakeholders, product owners and team members and drive product development plans. - Drive methodological innovations into data science and digital products in the customer analytics, supply chain, Internet-of-Things, asset optimization, operations optimization and similar domains. -Should Have:-- A total of 5-10 years of industry experience with at least 5 years of experience in building data science models and products, ideally for a product/industrial company. - A background or profile in Machine Learning, quantitative methods, predictive modelling, statistics or similar. - Excellent track record of delivery using languages like Python, R, Java and technologies like Hadoop, Git/SVN, JIRA etc.Exposure to IoT/Telematics will be an added advantage. - Good Familiarity with Agile / Scrum practices; played the role of scrum master, a good team player, balanced with the autonomy and motivation to produce individually. - Willingness to build on and experiment with cloud data science platforms, in addition to our own services. - Ability to effectively communicate data science results and analytics value to business stakeholders. -Education/ Qualification: -- M.Sc./M.Tech or PhD in statistics, mathematics, econometrics, computer science, physics or related field.-Does Not Matter-Post Graduate- 1000k to 1600k-
Hadoop
,
Java
,
Machine Learning
,
Modeling
,
Predictive Modeling
,
Python
,
R
,
Statistical Modeling
-
Pune
!!!",5.0,Pune,1000k to 1600k,Data_Analytics,Machine Learning Specialist -Pune (5-12 Years Of Experience),"Hadoop,Java,Machine Learning,Modeling,Predictive Modeling,Python,R,Statistical Modeling"
"- Manage the entire product lifecycle, from strategic to tactical activities - Support go-to-market activities - Coordinate product planning, development, and promotion with other teams - Participate in customer facing situations and user conferences as a deep product expert- Work closely with our customers and partners to understand their challenges and create data products to meet those challenges - Build a team specializing in data products --Skills/ Requirement:-- Hands on experience on Analytics/Business Intelligence using tools like SAS/Hadoop/Python/R/Tableau/Pentaho etc.-- Working on large data sets - Converting those data sets into Data Warehouse - Create/Develop ETL - Hands- on experience in designing/creating dashboards and reports - Experience of creating products using large sets of transactional data - Experience in mobility products -Soft Skills:- Must have worked in smaller teams - Strong planning and project management skills - Client Management Experience-- Hands on with strong focus on execution -Does Not Matter-Under Graduate- 800k to 1400k-
Etl
,
Hadoop
,
Pentaho
,
Python
,
R
,
Sas
,
Tableau
-
Delhi
!!!",4.0,Delhi,800k to 1400k,Data_Analytics,Data Product Manager- Delhi/NCR (4-7 Years Of Experience),"Etl,Hadoop,Pentaho,Python,R,Sas,Tableau"
"- You'll also need to understand the business problems that the analytics team is trying to solve and subsequently tailor your approach, choose appropriate technologies and gain buy-in from the business.-- Processing terabytes of data from various sources - Working on the back-end implementation of our data products - Support the data quality with machine learning algorithms etc. - Work closely with our BI, Data Science and DevOps teams - You'll be responsible for production using the current incoming data flows from APIs, social media, and the web, as well as exploring new sources of data, primarily using Python & SQL. Skills/ Requirement : - B.E/B.Tech/MCA/MSc graduate with 4+ years of experience in Data Sciences/ Data Analysis - Expert on any of the programming language Python - Knowledge of database systems like MySql/ Postgresql/ Oracle and expert knowledge of SQL. - Hands-on knowledge of data processing tool kits like Python scikit-learn, Pandas, NumPy - Strong analytical thinking and problem-solving skills - Experience in analyzing massive and complex structured and unstructured data sets.-Does Not Matter-Under Graduate- 650k to 1200k-
Numpy + Scipy
,
Pandas
,
Python
,
Scikit Learn
,
Sql
-
Chennai
!!!",4.0,Chennai,650k to 1200k,Data_Analytics,Data Engineer- Chennai (4-7 Years Of Experience),"Numpy + Scipy,Pandas,Python,Scikit Learn,Sql"
"1. Ability to search, extract, transform and load data from Shell's various databases, cleanse and refine data until it is fit-for-purpose2. Knowledge of statistical, mathematical and machine learning models, and ability to choose appropriate technique for estimation, comparison, classification, prediction and optimization3. Proven ability to program chosen models in analytics and visualization software packages - Python, R, SAS, Alteryx, Azure, Spotfire, etc4. Advanced skills in design of easy-to-use reporting interfaces and interactive dashboards in Spotfire and Excel5. Prior experience in Oil & Gas/Energy industry as an analytics professionalORdomain expertise in procurement/spend analytics, supply chain analytics, risk analytics etc6. Apply knowledge from one industry / function across others-Does Not Matter-Under Graduate- 650k to 1000k-
Excel
,
Python
,
R
,
Sas
-
Chennai
!!!",4.0,Chennai,650k to 1000k,Data_Analytics,Data Analyst- Chennai (4-8 Years Of Experience),"Excel,Python,R,Sas"
"- Create high value solutions using techniques like data mining, predictive modelling, etc. based on either structured or unstructured or both types of data to address client's business challenges-- Identify business challenges, translate it into analytical framework and propose a structured solution in line with the business objectives by using data driven analytics-- Write white papers / generate new ideas on hot topics and current analytical issues- Suggest appropriate technique / methodology, data requirements, effort estimation, etc. for the business challenges - Technically mentor the execution of PoCs, pilot and delivery projects - Highly self-motivated and professional. Ability to consistently meet deadlines and deliver high-quality materials. Ability to work in a fast-paced environment. - Should be driven to continuously innovate with newer statistical techniques and demonstrate the same. - Good interpersonal skills, with the ability to develop strong working relationships and effectively influence all levels of business Experience Required: - In-depth understanding of econometric and statistical analytical techniques such as regression analysis, statistical inferences, random forest, neural network models, multivariate analysis, time series forecasting, clustering, classification etc. are required. -- Must have extensively worked on various packages of R/Studio/Shiny, modules of SAS like SAS Base/Macro/Stat or Python/ Shell Scripts, etc.-- Master- s/Ph.D degree in quantitative fields such as Mathematics/ Econometrics/ Statistics/ Computer Science/Engineering or related fields from premier institutes - 7+ years of experience as a statistical analyst or in a similar role utilizing predictive analytics or data mining techniques for solving business problems - Previous experience in text mining or statistical modelling is must - Knowledge in Tableau, QlikView, etc. BI tools is a plus - Must have experience in designing, developing, and providing solutions for multiple domains or industry verticals - Flexibility to work with different countries (time-zones), groups, and business environment - Experience working with large datasets is an advantage - Experience working with Artificial Neural Network Models is an advantage-Does Not Matter-Post Graduate- 1000k to 1550k-
Classification
,
Forecasting
,
Multivariate Analysis
,
Neural Network
,
Qlikview
,
Random Forest
,
Regression
,
 Statistical Modeling
,
Tableau
,
Time Series
-
Bengaluru
!!!",5.0,Bengaluru,1000k to 1550k,Data_Analytics,Manager (Analytics)- Bangalore (5-10 Years Of Experience),"Classification,Forecasting,Multivariate Analysis,Neural Network,Qlikview,Random Forest,Regression,Statistical Modeling,Tableau,Time Series"
"- Outstanding understanding of statistics and probabilistic methods-- Experience of analytic environments and tools, for both structured and unstructured data - Knowledge of statistical tools like R, SAS along with MySql & Matlab. Hands on on Advance excel is mandatory. - Minimum 1 - 4 years of Experience in Business Analytics Driven problem solving - Strong knowledge of data mining techniques like time series forecasting, regression, classification and clustering techniques - Engineer / MBA from IIT / Leading B School-- An ace problem solver using Data and Analytics - Great tenacity to fight till an answer is found - Gets a kick out of solving a problem and not just analysis for analysis sake - Displays complete ownership and works well with functions / people-Tier 1: Any Degree-Under Graduate- 550k to 950k-
Clustering
,
Data Mining
,
Excel
,
Matlab
,
R
,
Regression
,
Sas
,
Time Series
-
Mumbai
!!!",1.0,Mumbai,550k to 950k,Data_Analytics,Strategic Business Analyst- Mumbai (1-4 Years Of Experience),"Clustering,Data Mining,Excel,Matlab,R,Regression,Sas,Time Series"
"Participate in all aspects of Big Data solution delivery life cycle including analysis,design, development, testing, production deployment, and support.-Develop standardized practices for delivering new products and capabilities using BigData technologies, including data acquisition, transformation, and analysis.-Define and develop client specific best practices around data management within a Hadoop environment.-Recommend design alternatives for data ingestion, processing and provisioning layers-Design and develop data ingestion programs to process large data sets in Batch mode using HIVE, Pig and Sqoop technologies-Develop data ingestion programs to ingest realtime data from LIVE sources using Apache Kafka, Spark Streaming and related technologies-Experience Required:--1+ years of hands-on experience using Hadoop (preferably Hadoop 2 with YARN), MapReduce, Pig, Hive,Sqoop, and HBase-Strong understanding of Hadoop ecosystem including setting up Hadoop cluster with knowledge on cluster sizing,monitoring, storage design and encryption at rest and motion.-Experience in scheduling Hadoop jobs using oozie workflow and Falcon-Proven experience in implementing Security in Hadoop ecosystem using Kerberos, Sentry, Knox and Ranger.-2+ years of strong experience in object-oriented programming through JAVA, including optimizing memory usage and JVM configuration in distributed programming environments-Worked on developing REST API's using standard frameworks-Exposure to Hadoop's distributed column-oriented database like HBase.-Strong UNIX operating system concepts and shell scripting knowledge-Production Experience in Apache Spark using SparkSQL and Spark Streaming or Apache Storm-Exposure to different NoSQL databases within Hadoop ecosystem--Does Not Matter-Under Graduate- 420k to 850k-
Hadoop
,
Hive
,
Java
,
Mapreduce
,
Nosql
,
Pig
,
Spark
,
Sparql
-
Bengaluru
,
Hyderabad
!!!",3.0,"Bengaluru,Hyderabad",420k to 850k,Data_Analytics,Big Data Developer- Hyderabad/ Bangalore (3-5 Years Of Experience),"Hadoop,Hive,Java,Mapreduce,Nosql,Pig,Spark,Sparql"
"1. R Programming/ SAS/ Python/ SPSS/ Minitab/ Weka. -2. Good knowledge in Machine Learning (kNN, SVM, Random Forest, Neural Network, Decision Trees), Statistical Modelling (Regression, Clustering) -3. Experience with data visualization tools/ solutions like D3.js, GGPLOT, PLOTLY -4. Good applied statistics skills, such as distributions, statistical testing, regression -Responsibilities:-1. Selection of features, building and optimization of classifiers using machine learning techniques -2. Building of predictive and prescriptive analytics models  -3. Development and articulation of strategic recommendations based on rigorous data analysis. -Does Not Matter-Under Graduate- 550k to 950k-
Clustering
,
Decision Trees
,
Machine Learning
,
Neural Network
,
Python
,
R
,
Random Forest
,
Regression
,
Sas
,
Spss
,
Statistical Modeling
,
Svm
-
Kolkata
!!!",4.0,Kolkata,550k to 950k,Data_Analytics,Consultant (Data and Analytics)- Kolkata (4-7 Years Of Experience),"Clustering,Decision Trees,Machine Learning,Neural Network,Python,R,Random Forest,Regression,Sas,Spss,Statistical Modeling,Svm"
" Experience & Skills Required:-Tier 1 : Entire Education-No Restriction- 1500k to 2100k-
Bigdata
,
K-Nn
,
Machine Learning
,
Naive Bayes
,
Python
,
R
,
Sas
,
Svm
,
Tableau
-
Bengaluru
!!!5+ years of experience with machine learning software+Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.+Good applied statistics skills, such as distributions, statistical testing, regression, etc.+Hands-on predictive analytics experience with Python+In-depth knowledge of statistical software packages (e.g. SAS or R)+Experience with data visualization tools (e.g. Plotly, PowerBi, Tableau, Shiny)+Exposure to big data technologies such as Hadoop, R, and Java / MapReduce a plus+Exposure to NoSQL databases, such as MongoDB, Cassandra, HBase, DynamoDB a plus      +Comfortable working with ambiguity (e.g. imperfect data, loosely defined concepts, ideas, or goals) and translating these into more tangible outputs+Strong analytical and critical thinking skills+Self-motivated. Capable of working with little or no supervision+Strong written and verbal communication skills+Enjoy challenging and thought provoking work and have a strong desire to learn and progress+Ability to manage multiple tasks and requests+Must demonstrate a positive, team-focused attitude+Ability to react positively under pressure to meet tight deadlines+Good inter-personal skills combined with willingness to listen+Structured, disciplined approach to work, with attention to detail+Flexible – able to meet changing requirements and priorities+Maintenance of up-to-date knowledge in the appropriate technical areas+Able to work in a global, multicultural environment",0.0,Bengaluru,1500k to 2100k,Data_Analytics,Lead Data Scientist- Bangalore (7-10 Years of Experience ),"Bigdata,K-Nn,Machine Learning,Naive Bayes,Python,R,Sas,Svm,Tableau"
"If you are interested in this opportunity, kindly mail your CV to [email protected] with subject as job title.-Does Not Matter-Under Graduate- 400k to 800k-
Analytics
,
Google Analytics
,
Marketing Analytics
-
Gurugram
!!!Knowledge and experience in analysing data from GA, creating GA reports, segments, understanding of goals and funnels+Strong understanding of best practices for SEO, specially on-page optimisation and hands on experience with google webmaster tool+Understanding of best practices for social media marketing and other organic channels for growth+Candidate must be familiar with best practices for email marketing and video content marketing+Should have experience in integration of analytics & marketing automation tools+Should have experience in acquiring users and increasing engagement through social media+Monitor and evaluate web analytics dashboards and reports, also recommend improvements in the product for driving growth and better engagement+Analyse all analytics tools data and create marketing campaigns to drive growth in terms of user acquisition and retention+Perform A/B experiments with all marketing channels – email campaigns, social media posts, etc.+Create regular reports to keep a track on growth experiments and channel performance+Trying various channels for organic growth, bringing in innovative ideas and discovering new opportunities for increasing traffic as well as retention+Manage all activities for on-page seo optimisation",2.0,Gurugram,400k to 800k,Data_Analytics,Growth Analyst- Analytics Vidhya (Gurugram),"Analytics,Google Analytics,Marketing Analytics"
